date,close,open,high,low,volume,change_pct,daily_return,log_return,direction,abs_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_5d_ann,rolling_vol_21d_ann,price_range_pct,is_trading_day
2024-02-29,125.3,123.25,127.86,123.25,10850000.0,1.58%,0.015808674503445586,0.015685018926657017,1.0,0.015808674503445586,0.0419356723202682,0.04826121068670544,0.665708160130348,0.7661229686874922,0.03740365111561866,1
2024-03-01,123.95,125.34,125.79,122.99,4790000.0,-1.08%,-0.010774142059058245,-0.010832603420823091,0.0,0.010774142059058245,0.026063168825631783,0.04806379418761744,0.41373997854547834,0.762989078919765,0.022339237274613143,1
2024-03-02,123.95,125.34,125.79,122.99,4790000.0,-1.08%,-0.010774142059058245,-0.010832603420823091,0.0,0.010774142059058245,0.026063168825631783,0.04806379418761744,0.41373997854547834,0.762989078919765,0.022339237274613143,0
2024-03-03,123.95,125.34,125.79,122.99,4790000.0,-1.08%,-0.010774142059058245,-0.010832603420823091,0.0,0.010774142059058245,0.026063168825631783,0.04806379418761744,0.41373997854547834,0.762989078919765,0.022339237274613143,0
2024-03-04,132.58,125.0,132.58,124.3,20950000.0,6.96%,0.0696248487293265,0.06730797833204613,1.0,0.0696248487293265,0.040899106508763126,0.05047227864303659,0.6492531880015823,0.8012225843533884,0.06624000000000012,1
2024-03-05,127.99,133.49,133.49,127.25,10470000.0,-3.46%,-0.03462060642630882,-0.03523410094554527,0.0,0.03462060642630882,0.038644784095462376,0.048425619177104785,0.6134669291182657,0.7687328725616375,0.0467450745374186,1
2024-03-06,128.02,127.11,131.65,127.11,11200000.0,0.02%,0.00023439331197772084,0.00023436584615715684,1.0,0.00023439331197772084,0.03827219273821591,0.04803558412705631,0.6075522246867087,0.762541258091476,0.035717095429155896,1
2024-03-07,131.33,128.0,131.9,127.85,9800000.0,2.59%,0.02585533510388993,0.025526737883211123,1.0,0.02585533510388993,0.03904796949257203,0.04656901300759569,0.6198672988762954,0.7392601633189816,0.03164062500000009,1
2024-03-08,129.4,130.0,130.8,128.5,6230000.0,-1.47%,-0.014695804462042217,-0.014804857530268382,0.0,0.014695804462042217,0.039599054882121856,0.04626251410712155,0.6286155082277555,0.7343946441123658,0.01769230769230778,1
2024-03-09,129.4,130.0,130.8,128.5,6230000.0,-1.47%,-0.014695804462042217,-0.014804857530268382,0.0,0.014695804462042217,0.039599054882121856,0.04626251410712155,0.6286155082277555,0.7343946441123658,0.01769230769230778,0
2024-03-10,129.4,130.0,130.8,128.5,6230000.0,-1.47%,-0.014695804462042217,-0.014804857530268382,0.0,0.014695804462042217,0.039599054882121856,0.04626251410712155,0.6286155082277555,0.7343946441123658,0.01769230769230778,0
2024-03-11,127.75,130.0,130.35,127.5,4230000.0,-1.28%,-0.012751159196290662,-0.012833152982986467,0.0,0.012751159196290662,0.02236928355349336,0.04578950637273161,0.35510136773538387,0.7268858791119306,0.02192307692307688,1
2024-03-12,124.0,128.05,128.49,123.0,4050000.0,-2.94%,-0.02935420743639927,-0.029793663478777006,0.0,0.02935420743639927,0.020752109986808685,0.042879631887565085,0.329429533229734,0.6806930537069541,0.04287387739164396,1
2024-03-13,122.8,124.65,125.0,120.51,4040000.0,-0.97%,-0.009677419354838679,-0.009724549891994744,0.0,0.009677419354838679,0.020439633081861523,0.03942591502684896,0.32446911614408586,0.6258669982332407,0.036020858403529844,1
2024-03-14,127.2,122.52,127.5,122.52,3550000.0,3.58%,0.03583061889250816,0.0352036351929797,1.0,0.03583061889250816,0.0245010470289196,0.03992569506065028,0.3889420637953154,0.6338007603112832,0.04064642507345743,1
2024-03-15,124.25,128.15,128.97,123.0,8020000.0,-2.32%,-0.023191823899371133,-0.023464985929283727,0.0,0.023191823899371133,0.02552911086949375,0.036844472994155074,0.40526207131965825,0.5848878763786182,0.046586031993757306,1
2024-03-16,124.25,128.15,128.97,123.0,8020000.0,-2.32%,-0.023191823899371133,-0.023464985929283727,0.0,0.023191823899371133,0.02552911086949375,0.036844472994155074,0.40526207131965825,0.5848878763786182,0.046586031993757306,0
2024-03-17,124.25,128.15,128.97,123.0,8020000.0,-2.32%,-0.023191823899371133,-0.023464985929283727,0.0,0.023191823899371133,0.02552911086949375,0.036844472994155074,0.40526207131965825,0.5848878763786182,0.046586031993757306,0
2024-03-18,123.25,124.05,125.4,122.71,3150000.0,-0.80%,-0.008048289738430636,-0.008080852053938672,0.0,0.008048289738430636,0.025398016802595944,0.03471056343104712,0.4031810175234523,0.5510131122329014,0.021684804514308844,1
2024-03-19,122.9,123.0,124.99,122.03,4300000.0,-0.28%,-0.0028397565922920753,-0.0028437963508103374,0.0,0.0028397565922920753,0.02203392915966316,0.031145406774259008,0.3497777817724987,0.4944180048398145,0.024065040650406454,1
2024-03-20,122.0,123.12,124.85,121.11,5330000.0,-0.73%,-0.007323026851098535,-0.007349971838732661,0.0,0.007323026851098535,0.02184471987554908,0.030670171135615917,0.3467741775034362,0.4868738729557871,0.0303768680961663,1
2024-03-21,119.22,122.03,123.0,119.2,4600000.0,-2.28%,-0.022786885245901667,-0.023050518941476104,0.0,0.022786885245901667,0.00961495396897049,0.030391185487061517,0.15263266241537618,0.48244511308320104,0.031139883635171655,1
2024-03-22,117.71,119.8,119.85,117.26,3520000.0,-1.27%,-0.012665660124140277,-0.012746553367391247,0.0,0.012665660124140277,0.007688642480253241,0.030502370534199463,0.12205341553462151,0.48421012098861704,0.021619365609348826,1
2024-03-23,117.71,119.8,119.85,117.26,3520000.0,-1.27%,-0.012665660124140277,-0.012746553367391247,0.0,0.012665660124140277,0.007688642480253241,0.030502370534199463,0.12205341553462151,0.48421012098861704,0.021619365609348826,0
2024-03-24,117.71,119.8,119.85,117.26,3520000.0,-1.27%,-0.012665660124140277,-0.012746553367391247,0.0,0.012665660124140277,0.007688642480253241,0.030502370534199463,0.12205341553462151,0.48421012098861704,0.021619365609348826,0
2024-03-25,121.25,121.9,124.78,120.7,16000000.0,3.01%,0.030073910457905084,0.02963055739320337,1.0,0.030073910457905084,0.019876798463972667,0.02642859415850941,0.31553439357493396,0.4195409258668215,0.03347005742411811,1
2024-03-26,122.59,121.6,124.39,121.16,20900000.0,1.11%,0.011051546391752654,0.01099092428931036,1.0,0.011051546391752654,0.020888500348645842,0.026566083116344334,0.3315946631016174,0.4217234954095135,0.026562500000000034,1
2024-03-27,122.7,123.21,123.73,122.21,4510000.0,0.09%,0.0008972999428991102,0.000896897609962906,1.0,0.0008972999428991102,0.020535512831354956,0.02483195942867018,0.3259911599816466,0.3941951352882411,0.012336660985309717,1
2024-03-28,122.92,122.8,123.7,121.85,4200000.0,0.18%,0.001792991035044711,0.0017913855454180392,1.0,0.001792991035044711,0.015639984649368745,0.02425516253157798,0.2482770593465846,0.3850387684080431,0.01506514657980463,1
2024-03-29,121.35,123.02,123.5,121.2,2790000.0,-1.28%,-0.01277253498210229,-0.01285480508967363,0.0,0.01277253498210229,0.015672658795659846,0.024121780433603714,0.24879574533891016,0.3829213932445153,0.018696146967972664,1
