date,post_count,vader_compound_mean,vader_compound_std,vader_compound_sum,lm_net_mean,lm_net_std,lm_negative_mean,lm_positive_mean,lm_uncertainty_mean,lm_litigious_mean,pct_positive_vader,pct_negative_vader,pct_neutral_vader,pct_positive_lm,pct_negative_lm,pct_neutral_lm
2025-11-27,6,0.6296666666666667,0.3358513460843453,3.778,-0.006218094927772346,0.020477931355649445,1.5,0.8333333333333334,0.8333333333333334,0.0,1.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5
2025-11-28,6,0.4756,0.4225504703582757,2.8536,0.0037635260747388897,0.005620115515273292,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.5
2025-11-30,3,0.15133333333333335,0.38250005664487596,0.454,0.014731585518102372,0.046359315961901994,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-12-01,2,0.42885,0.6064854862237018,0.8577,-0.010416666666666666,0.01473139127471974,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5
2025-12-02,10,0.57162,0.6037477854571762,5.7162,-0.0002197856742415608,0.01277245704183016,1.8,1.3,0.8,0.1,0.8,0.2,0.0,0.2,0.4,0.4
2025-12-03,10,0.30228,0.5314449836687394,3.0228,-0.0036858974358974354,0.0251735399023256,0.1,0.2,0.5,0.0,0.6,0.2,0.2,0.2,0.1,0.7
2025-12-04,4,0.787525,0.28652703624614556,3.1501,-0.003676470588235294,0.007352941176470588,1.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.75
2025-12-05,9,0.44604444444444447,0.643916101117046,4.0144,-0.002653938431733045,0.00896793043804506,0.8888888888888888,0.5555555555555556,0.7777777777777778,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.6666666666666666
2025-12-06,9,0.24737777777777778,0.42391388210867126,2.2264,0.01818181818181818,0.06923430096239917,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.7777777777777778
2025-12-07,7,0.7559428571428571,0.3959017296297271,5.2916,-0.012278180365225651,0.038460645623983845,1.4285714285714286,1.7142857142857142,2.2857142857142856,0.0,0.8571428571428571,0.14285714285714285,0.0,0.42857142857142855,0.5714285714285714,0.0
2025-12-08,11,0.4555909090909091,0.42124638978760504,5.0115,0.0028554219191210413,0.03671181952056309,1.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.45454545454545453
2025-12-09,10,0.49858,0.5658892467219673,4.9858,-2.730054024301133e-05,0.0375374581998268,2.3,1.2,0.8,0.2,0.7,0.1,0.2,0.4,0.5,0.1
